title,bookID,author,rating,ratingsCount,reviewsCount
"The Quilter's Homecoming (Elm Creek Quilts, #10)",19413,Jennifer Chiaverini,4.03,3923,263
Football Nightmare,19773,Matt Christopher,3.93,113,22
Es Mas de Lo Que Puedo Decir de Cierta Gente,19640,Lorrie Moore,4.12,11747,979
Vies Cruelles,19641,Lorrie Moore,4.11,3844,259
Was man von einigen Leuten nicht behaupten kann. Storys.,19642,Lorrie Moore,4.12,11747,979
The Rime of the Ancient Mariner and Other Poems,19178,Samuel Taylor Coleridge,3.94,2620,77
Flirting with the Devil,19816,Bill Pride,2.5,2,1
Living with the Devil,260633,Stephen Batchelor,4.02,369,38
Living With The Devil's Angels,19815,Donna Powell,0,0,0
American Farm Tractor,19763,Randy Leffingwell,3,3,2
Porsche 911 Buyer's Guide,19761,Randy Leffingwell,3.73,11,2
Overrun by Demons/the Church's New Preoccupation With the Demonic,19817,Thomas Ice,5,1,0
Farm Tractors: A Living History,19762,Randy Leffingwell,5,1,0
Corvette: Fifty Years,19764,Randy Leffingwell,4,16,1
Shooting Butterflies,19657,Marika Cobbold,3.63,126,18
How to Succeed in the Game of Life: 34 Interviews with the World's Greatest Coaches,19813,Christian Klemash,3.56,25,5
World War I in Colour: The definitive illustrated history with over 200 remarkable full colour photographs,19059,Charles Messenger,4,5,2
I'm Dancing As Fast As I Can,19058,Charol Messenger,3.75,4,0
The Messenger That I Sent,19060,Joel Brumlik,0,0,0
"Getting the Girl (Wolfe Brothers, #3)",19062,Markus Zusak,3.69,5027,490
"Fighting Ruben Wolfe (Wolfe Brothers, #2)",19065,Markus Zusak,3.85,3262,293
"Underdog (Wolfe Brothers, #1)",19066,Markus Zusak,3.41,2858,254
The Book Thief,19063,Markus Zusak,4.36,1312496,94590
God & His Messengers,19061,David Hofman,0,0,0
The Nicomachean Ethics,19068,Aristotle,3.91,25765,637
Nicomachean Ethics,19069,Aristotle,3.91,25766,637
Nicomachean Ethics,19067,Aristotle,3.91,25766,637
The Book Thief,19064,Markus Zusak,4.36,1312508,94591
Blackmailed Into Bed,19942,Heidi Betts,3.34,114,7
Craft Adventures,19941,Terri Bose,0,0,0
Simply Beautiful Weddings: 50 Projects to Personalize Your Wedding,19940,Heidi Boyd,3.2,5,0
Homage to Robert Frost,19241,Joseph Brodsky,3.96,50,6
A Season Of Giving,19959,Heidi Swapp,3.8,5,0
Trial by Journal,19414,Kate Klise,4.28,962,122
Canopy: A Work for Voice and Light in Harvard Yard,19257,David   Ward,0,0,0
Joy Or Night: Last Things In The Poetry Of W.B. Yeats And Philip Larkin:  W.D. Thomas Memorial Lecture Delivered At The College On 18 January 1993,19256,Seamus Heaney,0,0,0
Artesia Volume 3: Afire - The Third Book Of Dooms,19963,Mark Smylie,4.2,135,10
Seamus Heaney and the Language of Poetry,19242,Bernard O'Donoghue,4.29,7,1
Artesia Volume 1,19961,Mark Smylie,4.03,269,32
Artesia Volume 2: Afield - The Second Book Of Dooms,19964,Mark Smylie,4.21,146,13
Artesia Volume 2: Artesia Afield,19962,Mark Smylie,4.21,146,13
Artesia Volume 1: The First Book Of Dooms,19960,Mark Smylie,4.03,269,32
Stepping from the Shadows,19825,Patricia A. McKillip,3.49,136,16
Isn't it Romantic,19830,Wendy Wasserstein,3.5,124,9
"Winter Rose (Winter Rose, #1)",19824,Patricia A. McKillip,3.84,6204,321
Shiksa Goddess,19828,Wendy Wasserstein,3.65,273,44
Elements of Style,19826,Wendy Wasserstein,3.02,1379,242
Sloth: The Seven Deadly Sins (New York Public Library Lectures in Humanities),19829,Wendy Wasserstein,3.25,171,31
Seven One-Act Plays,19827,Wendy Wasserstein,3.95,20,2
"Solstice Wood (Winter Rose, #2)",19822,Patricia A. McKillip,3.74,1745,141
The Sisters Rosensweig,19831,Wendy Wasserstein,3.61,391,28
Od Magic,19823,Patricia A. McKillip,3.97,3001,245
Swimming Lessons and Other Stories from Firozsha Baag,19659,Rohinton Mistry,3.93,2995,186
The Novels Of Rohinton Mistry: Critical Studies,19664,Jardipsinh K. Dodiya,0,0,0
"Sin Remordimientos (John Clark, #1)",19667,Tom Clancy,4.16,50412,967
Rohinton Mistry,19663,Peter Morey,4.22,9,0
Eine andere Art von Leben.,19658,Marika Cobbold,3.51,39,5
Aristotle's Nicomachean Ethics: An Introduction,19074,Michael Pakaluk,3.77,26,2
The Royal Mice: The Sword and the Horn,19968,Loretta Krupinski,3.33,15,1
Such a Long Journey,19660,Rohinton Mistry,3.95,8075,396
Into the Woods: A Woodland Scrapbook,19967,Loretta Krupinski,3.22,9,1
"Without Remorse (Jack Ryan Universe, #1)",19668,Tom Clancy,4.16,50413,967
Tales from Firozshah Bag,19662,Rohinton Mistry,3.93,2995,186
Family Matters,19661,Rohinton Mistry,3.99,17960,813
Best Friends,19965,Loretta Krupinski,3.91,11,6
"Clave Red Rabbit (Jack Ryan, #2)",19669,Tom Clancy,3.64,21269,510
I Lost Everything in the Post-Natal Depression,432292,Erma Bombeck,4.07,977,34
The Last Sentry: The True Story That Inspired the Hunt for Red October,19696,Gregory D. Young,4.25,16,3
"Seamus Heaney, Selected Poems",19232,Shay Daly,3.9,20,0
Tom Clancy's Rainbow Six Rogue Spear: Black Thorn: Prima's Official Strategy Guide,19711,Michael Knight,5,1,0
Tom Clancy's Rainbow Six: Raven Shield (Prima's Official Strategy Guide),19710,Michael Knight,4.5,2,1
Mustang: The Original Muscle Car,19713,Randy Leffingwell,4.8,5,1
John Deere Farm Tractors: A History of the John Deere Tractor,19712,Randy Leffingwell,4.45,20,1
Ultimate Horse Barns,19715,Randy Leffingwell,4.23,26,3
Murder At The Red October,19697,Anthony Olcott,3.42,26,2
Farmall: The Red Tractor that Revolutionized Farming,19716,Randy Leffingwell,4.5,8,1
"Red Rabbit (Jack Ryan, #2)",19699,Tom Clancy,3.64,21269,510
"Red Rabbit (Jack Ryan, #2)",19698,Tom Clancy,3.64,21269,510
